 1: max profit = 309 | solution: 1111010000
 2: max profit = 309 | solution: 1111010000
 3: max profit = 309 | solution: 1111010000
 4: max profit = 309 | solution: 1111010000
 5: max profit = 309 | solution: 1111010000
 6: max profit = 309 | solution: 1111010000
 7: max profit = 309 | solution: 1111010000
 8: max profit = 309 | solution: 1111010000
 9: max profit = 309 | solution: 1111010000
10: max profit = 309 | solution: 1111010000
11: max profit = 309 | solution: 1111010000
12: max profit = 309 | solution: 1111010000
13: max profit = 309 | solution: 1111010000
14: max profit = 309 | solution: 1111010000
15: max profit = 309 | solution: 1111010000
16: max profit = 309 | solution: 1111010000
17: max profit = 309 | solution: 1111010000
18: max profit = 309 | solution: 1111010000
19: max profit = 309 | solution: 1111010000
20: max profit = 309 | solution: 1111010000
21: max profit = 309 | solution: 1111010000
22: max profit = 309 | solution: 1111010000
23: max profit = 309 | solution: 1111010000
24: max profit = 309 | solution: 1111010000
25: max profit = 309 | solution: 1111010000
26: max profit = 309 | solution: 1111010000
27: max profit = 309 | solution: 1111010000
28: max profit = 309 | solution: 1111010000
29: max profit = 309 | solution: 1111010000
30: max profit = 309 | solution: 1111010000
Average max profit of 30runs: 309.00
